City	Country
Arendal	Norway
Kolno	Poland
Chá»£ Chu	Vietnam
Piraju	Brazil
Lalapanzi	Zimbabwe
Marogong	Philippines
Buenavista	Mexico
Two Hills	Canada
Daxing	China
GÃ©rakas	Greece
Beppu	Japan
Burgeo	Canada
Allacapan	Philippines
Saint-Quentin-Fallavier	France
KÄleke Mandi	Pakistan
Wuxue Shi	China
Zhouyuan	China
Kedungsinggil	Indonesia
Saint-Ã‰tienne	France
Bentengjawa	Indonesia
Novoaleksandrovsk	Russia
Oruro	Bolivia
Taipingying	China
Mizhhirâ€™ya	Ukraine
KÃ¸benhavn	Denmark
Sindangheula	Indonesia
Meijiang	China
Kuala Bintang	Indonesia
Ceres	South Africa
Mijiang	China
Xitou	China
Dalu	China
San Francisco	Philippines
Ngarus	Indonesia
Sheregesh	Russia
Calizo	Philippines
Longgao	China
Bourges	France
Wonorejo	Indonesia
UruzgÄn	Afghanistan
TuchÃ³w	Poland
Bindang	Indonesia
Ulster Spring	Jamaica
Maukaro	Indonesia
PrÃ³choma	Greece
KaniÃ³w	Poland
Ebu	China
Fonte da Aldeia	Portugal
Maslog	Philippines
Croix	France
Jurovski Dol	Slovenia
SubaykhÄn	Syria
Lop	China
AsunciÃ³n	Paraguay
Palmitas	Uruguay
Sihai	China
Massy	France
Druzhny	Belarus
Riangbaring	Indonesia
Xushangqiao	China
Sere	Indonesia
Weiting	China
Nong Bun Nak	Thailand
Gelsenkirchen	Germany
San Salvador	El Salvador
Levski	Bulgaria
Tarlac City	Philippines
Pogorzyce	Poland
Soacha	Colombia
Jinshan	China
Semiluki	Russia
Mojokerto	Indonesia
Chicago	United States
Budapest	Hungary
DÄ«la	Ethiopia
Yongxing	China
Letpandan	Myanmar
Puolanka	Finland
ÅžÄnÅ«r	Palestinian Territory
Komorniki	Poland
Livorno	Italy
BorÅ«jerd	Iran
Tallahassee	United States
Munturkaju	Indonesia
Maao	Philippines
Laowobao	China
Estacion	Philippines
Dobryanka	Ukraine
Calamba	Philippines
SomiÃ©	Cameroon
Kaolack	Senegal
Ayo	Peru
Sotteville-lÃ¨s-Rouen	France
Batanovtsi	Bulgaria
Mambi	Indonesia
Ponikiew	Poland
Jinqiao	China
Gabahan	Indonesia
Xiyuan	China
Nart	Mongolia
Laojunpo	China
Daru Rilwan	Gambia
LÃ©fka	Cyprus
Kongjiang	China
Assiniboia	Canada
Lichinga	Mozambique
Del Pilar	Philippines
WrocÅ‚aw	Poland
Jardoeira	Portugal
Novoselec	Croatia
San Pedro Jocopilas	Guatemala
Beni Khiar	Tunisia
Dasuk	Indonesia
Giesteira	Portugal
Mashui	China
Jiabeiyan	China
Huajialing	China
Taihe	China
WÄ™gry	Poland
Monasterevin	Ireland
San JerÃ³nimo	Peru
Pau	France
Dalam	Indonesia
Kambar	Pakistan
Kathu	Thailand
Douala	Cameroon
Yidao	China
SÃ£o JosÃ© de Ribamar	Brazil
Kyankwanzi	Uganda
Banqiao	China
Tarnowiec	Poland
Hetang	China
Alvand	Iran
Camino Real	Mexico
Biasong	Philippines
Mugango	Tanzania
MaipÃº	Argentina
Gumuk Tengah	Indonesia
Mulhouse	France
Saue	Estonia
Huruta	Ethiopia
Santiago de Cuba	Cuba
Simpang Ulim	Indonesia
Medianeira	Brazil
Puyang	China
Laveiras	Portugal
RÃ­o Colorado	Argentina
Shuibian	China
Riosucio	Colombia
Stratford	Canada
Shuangbaiyang	China
Chongjin	North Korea
Yuyue	China
Lucapa	Angola
Fagersta	Sweden
FÅ«man	Iran
HÄ«rna	Ethiopia
Hangchuan	China
Cimuncang	Indonesia
Tianjiazhuang	China
Dongqiao	China
BiaÅ‚a	Poland
RibeirÃ£o	Portugal
NÃ©a KaryÃ¡	Greece
Tangkeng	China
Mercier	Canada
Casuguran	Philippines
Wenshang	China
Lengor	Indonesia
LÃ©khaio	Greece
WÄling	Nepal
Lingbei	China
Mufushan	China
Yinping	China
Ballyboden	Ireland
Xianyan	China
Cruz	Portugal
Bunigeulis	Indonesia
Pâ€™yÅngsÅng	North Korea
Kalahang	Indonesia
CaculÃ©	Brazil
Kuala Lumpur	Malaysia
Segovia	Colombia
Qiandong	China
Bajos de Haina	Dominican Republic
Aveleda	Portugal
Silvares	Portugal
Khanabad	Afghanistan
San Antonio	Mexico
Gislaved	Sweden
Tongyangdao	China
Komi	Indonesia
Las Palmas	Panama
Cagliari	Italy
AlÃ¨s	France
Lojigawaran	Indonesia
Lucas	Brazil
Cheban	China
Celica	Ecuador
Å ventoji	Lithuania
Nowy SÄ…cz	Poland
Charqueadas	Brazil
Rustenburg	South Africa
Louiseville	Canada
Koretsâ€™	Ukraine
Arzakan	Armenia
Nisporeni	Moldova
Dniprodzerzhynsâ€™k	Ukraine
Cafe	Philippines
Cerro CorÃ¡	Argentina
Shejiang	China
Bayaguana	Dominican Republic
San Jacinto	Philippines
Santa Fe de la Vera Cruz	Argentina
SÃ£o Paio de GramaÃ§os	Portugal
Pau	France
Poja	Indonesia
Asemanis	Indonesia
Shenavan	Armenia
Domaradz	Poland
Nailung	China
Lapu-Lapu City	Philippines
